gene	P_normalized_baseline	B_normalized_baseline	P_normalized_TRP_12.5min	B_normalized_TRP_12.5min	B_by_P_baseline	pauseRelease_kelong30_baseline	pauseRelease_kelong45_baseline	pauseRelease_kelong60_baseline	B_by_P_TRP_12.5min	pauseRelease_kelong30_TRP_12.5min	pauseRelease_kelong45_TRP_12.5min	pauseRelease_kelong60_TRP_12.5min	pauseRelease_FC	initiationRate_FC_bound1	initiationRate_FC_bound2	initiationRate_baseline_kelong45_termination_point01	initiationRate_baseline_kelong45_termination_point1	initiationRate_baseline_kelong45_termination_1	initiationRate_TRP_12.5min_kelong45_termination_point01	initiationRate_TRP_12.5min_kelong45_termination_point1	initiationRate_TRP_12.5min_kelong45_termination_1
Tcf24	0.00796888671188262	6.971887730342455e-05	0.003441502030798615	2.1122988763380635e-05	0.00874888548728706	0.2624665646186118	0.39369984692791765	0.5249331292372236	0.006137723753857253	0.1841317126157176	0.2761975689235764	0.3682634252314352	0.7015435009151662	0.43186735553247346	0.30297373653122617	0.003217038345772931	0.003934238149842367	0.011106236190536726	0.0009849495146601148	0.0012946846974319901	0.004392036525150743
Cops5	0.07448377043611065	3.331701651132007e-05	0.01441067011438464	2.417384157132757e-05	0.0004473057193029472	0.013419171579088415	0.02012875736863262	0.02683834315817683	0.0016774960067399915	0.050324880202199745	0.07548732030329962	0.10064976040439949	3.750222575633718	0.19347396124026192	0.7255704172405132	0.0022441034473705095	0.008947642786620469	0.07598303617912006	0.0012319295718535871	0.0025288898821482046	0.01549849298509438
Cspp1	0.6554426551878149	2.202084739071299e-05	0.10078104561718886	2.1456179557815647e-05	3.359690922831837e-05	0.001007907276849551	0.0015118609152743267	0.002015814553699102	0.00021289895760077485	0.006386968728023246	0.009580453092034869	0.012773937456046491	6.336861410493238	0.15376027913274945	0.9743575793029887	0.007545364684460233	0.06653520365136358	0.656433593320397	0.0019733385362735926	0.011043632641820591	0.10174657369729057
Arfgef1	0.004823821560267188	1.9022707072838436e-05	0.0013862981230615746	1.539180618830832e-05	0.003943493107109206	0.1183047932132762	0.1774571898199143	0.2366095864265524	0.011102811099762753	0.3330843329928826	0.49962649948932386	0.6661686659857652	2.8154762283587997	0.2873858632085861	0.809128066230148	0.0009042600338804016	0.0013384039743044485	0.005679843378544918	0.0007064942597044901	0.0008312610907800318	0.002078929401535449
Rnf152	0.006053014871633943	5.935076298501865e-06	0.0004540182820687518	3.834027848472492e-06	0.0009805157304858493	0.029415471914575476	0.04412320787186322	0.05883094382915095	0.008444655204197057	0.2533396561259117	0.3800094841888676	0.5066793122518234	8.612462749590666	0.07500696623039929	0.6459947026191188	0.0003276085821489233	0.0008723799205959782	0.0063200933050665264	0.00017707143600194969	0.00021793308138813735	0.0006265495352500139
Pign	0.2794192534730076	1.4877052747291833e-05	0.05523044057116821	1.0799621583851337e-05	5.3242761772423756e-05	0.0015972828531727126	0.002395924279759069	0.003194565706345425	0.00019553748751895765	0.00586612462556873	0.008799186938353094	0.01173224925113746	3.6725647019353755	0.19766154223335783	0.7259248029363384	0.003463659908358209	0.028611392720928896	0.2800887208466357	0.0010382873769849922	0.0060090270283901315	0.055716423542441516
Relch	0.029204730150360934	2.187815409155881e-05	0.009392225941425004	1.7399052176511352e-05	0.0007491304997142192	0.022473914991426577	0.033710872487139866	0.044947829982853155	0.0018524950618757727	0.055574851856273186	0.08336227778440977	0.11114970371254637	2.4728602861350173	0.3215994769706485	0.7952705746425097	0.0012765642356237557	0.00390498994915624	0.03018924708448108	0.0008768796073572608	0.0017221799420855113	0.010175183289368015
Kdsr	0.13290263913773614	2.9067944361540977e-05	0.02358800028712264	2.3653735204274266e-05	0.00021871608081022278	0.006561482424306683	0.009842223636460026	0.013122964848613366	0.0010027867948258213	0.03008360384477464	0.04512540576716196	0.06016720768954928	4.584879132394143	0.17748330988880343	0.8137395238574178	0.0026370838876467054	0.01459832141004296	0.13421069663400548	0.0013002980870635685	0.0034232181129046062	0.02465241837131498
Vps4b	0.16092746573512887	3.351801219236763e-05	0.07078828608858055	2.7185580124560215e-05	0.00020828024625414195	0.006248407387624258	0.009372611081436388	0.012496814775248517	0.0003840406602095392	0.011521219806286176	0.017281829709429264	0.023042439612572352	1.8438650189655323	0.4398769704426419	0.8110737584477228	0.0031175852060078323	0.01760105712216943	0.16243577628378542	0.0019312339664910151	0.008302179714463266	0.07201163719418577
Dsel	0.011258115919873163	1.0413625101761801e-05	0.0038955202095413664	7.363207403809336e-06	0.0009249882641001554	0.027749647923004665	0.04162447188450699	0.05549929584600933	0.0018901730725910501	0.056705192177731505	0.08505778826659725	0.11341038435546301	2.043456275015384	0.3460188398544447	0.7070743695741083	0.0005811942887780127	0.0015944247215665974	0.011726729049452444	0.00037029953526683377	0.0007208963541255567	0.0042268645427127865
