gene	P_normalized_baseline	B_normalized_baseline	P_normalized_TRP_12.5min	B_normalized_TRP_12.5min	B_by_P_baseline	pauseRelease_kelong30_baseline	pauseRelease_kelong45_baseline	pauseRelease_kelong60_baseline	B_by_P_TRP_12.5min	pauseRelease_kelong30_TRP_12.5min	pauseRelease_kelong45_TRP_12.5min	pauseRelease_kelong60_TRP_12.5min	pauseRelease_FC	initiationRate_FC_bound1	initiationRate_FC_bound2	initiationRate_baseline_kelong45_termination_point01	initiationRate_baseline_kelong45_termination_point1	initiationRate_baseline_kelong45_termination_1	initiationRate_TRP_12.5min_kelong45_termination_point01	initiationRate_TRP_12.5min_kelong45_termination_point1	initiationRate_TRP_12.5min_kelong45_termination_1
Tcf24	0.07061542377222484	0.0006178062562194436	0.0304964963243157	0.0001871790698991729	0.008748885487287061	0.26246656461861184	0.39369984692791776	0.5249331292372237	0.006137723753857254	0.18413171261571762	0.27619756892357644	0.36826342523143524	0.7015435009151662	0.43186735553247346	0.30297373653122617	0.02850743576759721	0.03486282390709745	0.0984167053020998	0.008728023108705936	0.01147270777789435	0.03891955446977848
Cops5	0.660029839005765	0.00029523512189788217	0.1276985874892177	0.0002142138705795001	0.0004473057193029473	0.013419171579088418	0.02012875736863263	0.026838343158176837	0.0016774960067399915	0.050324880202199745	0.07548732030329962	0.10064976040439949	3.750222575633717	0.19347396124026195	0.7255704172405131	0.019885878875462348	0.0792885643859812	0.6733154194911697	0.010916610050969682	0.022409482924999273	0.1373382116652952
Cspp1	5.808133874643234	0.0001951353465723098	0.8930602858055213	0.00019013160392264555	3.359690922831837e-05	0.001007907276849551	0.0015118609152743267	0.002015814553699102	0.00021289895760077485	0.006386968728023246	0.009580453092034869	0.012773937456046491	6.336861410493238	0.15376027913274945	0.9743575793029887	0.06686242934218628	0.5895944780600774	5.816914965238988	0.017486525034574263	0.09786195075707119	0.9016162079820403
Arfgef1	0.04274577064471635	0.00016856765189550999	0.012284530195248049	0.00013639281820717074	0.003943493107109206	0.1183047932132762	0.1774571898199143	0.2366095864265524	0.011102811099762753	0.3330843329928826	0.49962649948932386	0.6661686659857652	2.8154762283587997	0.2873858632085861	0.809128066230148	0.008013002041745113	0.011860121399769585	0.0503313149800143	0.006260522121275164	0.007366129838847489	0.018422207014570733
Rnf152	0.05363813362067858	5.2593033768977255e-05	0.004023233677147883	3.3974821209427734e-05	0.0009805157304858493	0.029415471914575476	0.04412320787186322	0.05883094382915095	0.008444655204197057	0.2533396561259117	0.3800094841888676	0.5066793122518234	8.612462749590666	0.07500696623039929	0.6459947026191188	0.002903067855810762	0.0077304998816718346	0.05600482014028256	0.0015690992911957268	0.0019311903221390363	0.005552100631572131
Pign	2.47604335555345	0.00013183138651792507	0.48941854829535325	9.569967327884901e-05	5.3242761772423756e-05	0.0015972828531727126	0.002395924279759069	0.003194565706345425	0.00019553748751895765	0.00586612462556873	0.008799186938353094	0.01173224925113746	3.6725647019353755	0.1976615422333578	0.7259248029363383	0.03069284594884113	0.2535367479486516	2.4819757679467567	0.009200670780501737	0.053248340127083536	0.49372503359290143
Relch	0.25879454311303635	0.00019387088540558193	0.08322818970801042	0.00015417981044294933	0.0007491304997142191	0.022473914991426574	0.03371087248713986	0.04494782998285315	0.0018524950618757727	0.055574851856273186	0.08336227778440977	0.11114970371254637	2.4728602861350177	0.32159947697064845	0.7952705746425097	0.01131213527438155	0.03460364415455482	0.26751873295628753	0.007770373367012824	0.015260910440733763	0.09016628117794315
Kdsr	1.177702296754216	0.00025758243070728	0.209022501691584	0.00020960500451777837	0.00021871608081022276	0.006561482424306682	0.009842223636460024	0.013122964848613364	0.0010027867948258213	0.03008360384477464	0.04512540576716196	0.06016720768954928	4.584879132394143	0.1774833098888034	0.8137395238574177	0.023368232349369758	0.1293614390572492	1.1892935061360435	0.011522450220215866	0.030334475372458432	0.21845472689488404
Vps4b	1.4260412527299717	0.0002970162232871636	0.6272827059770899	0.00024090206454146785	0.00020828024625414195	0.006248407387624258	0.009372611081436388	0.012496814775248517	0.00038404066020953915	0.011521219806286174	0.01728182970942926	0.02304243961257235	1.8438650189655321	0.43987697044264196	0.8110737584477228	0.027626142575222078	0.15596985532091953	1.4394069827778941	0.017113419964136952	0.07356886350207505	0.6381232988814559
Dsel	0.09976257102177567	9.227920739160075e-05	0.03451972908585146	6.524826239121449e-05	0.0009249882641001554	0.027749647923004665	0.04162447188450699	0.05549929584600933	0.0018901730725910501	0.056705192177731505	0.08505778826659725	0.11341038435546301	2.043456275015384	0.34601883985444465	0.7070743695741082	0.00515019004283979	0.0141288214347996	0.10391513535439771	0.0032813690984631666	0.006388144716189798	0.03745590089345611
